"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"avinguda d'Europa"	"avinguda d'Europa"							"way"	"  23854168"		"{'highway': 'secondary', 'name': \"avinguda d'Europa\", 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda d'Europa"	"avinguda d'Europa"							"way"	"  23854165"		"{'highway': 'secondary', 'name': \"avinguda d'Europa\", 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda d'Europa"	"avinguda d'Europa"							"way"	"  34894004"		"{'cycleway:right': 'no', 'highway': 'secondary', 'name': \"avinguda d'Europa\", 'oneway': 'yes', 'ref': 'CV-740', 'surface': 'asphalt'}"
"avinguda d'Europa"	"avinguda d'Europa"							"way"	"  34893851"		"{'highway': 'secondary', 'name': \"avinguda d'Europa\", 'oneway': 'yes', 'ref': 'CV-740', 'surface': 'asphalt'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740482"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740483"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740485"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740486"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 252635956"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740484"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	"  23854166"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"avinguda de la Mediterrània"	"avinguda de la Mediterrània"							"way"	" 285740487"		"{'highway': 'secondary', 'name': 'avinguda de la Mediterrània', 'oneway': 'yes', 'ref': 'CV-740'}"
"Avinguda de la Paz"	"Avinguda de la Paz"							"way"	" 263713249"		"{'highway': 'residential', 'name': 'Avinguda de la Paz', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Paz"	"Avinguda de la Paz"							"way"	" 263713250"		"{'highway': 'residential', 'name': 'Avinguda de la Paz', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Paz"	"Avinguda de la Paz"							"way"	" 263713251"		"{'highway': 'residential', 'name': 'Avinguda de la Paz', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Paz"	"Avinguda de la Paz"							"way"	"  68440079"		"{'highway': 'residential', 'name': 'Avinguda de la Paz', 'oneway': 'yes'}"
"Avinguda de la Paz"	"Avinguda de la Paz"							"way"	" 393189036"		"{'highway': 'residential', 'name': 'Avinguda de la Paz', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de las Palmas"	"Avinguda de las Palmas"							"way"	"  47888848"		"{'highway': 'residential', 'name': 'Avinguda de las Palmas'}"
"Avinguda de las Palmas"	"Avinguda de las Palmas"							"way"	"1039989283"		"{'highway': 'residential', 'name': 'Avinguda de las Palmas'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"							"way"	"  44138279"		"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'source': 'Yahoo'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"							"way"	"  78251174"		"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'oneway': 'no', 'source': 'Yahoo'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"							"way"	" 445345488"		"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'oneway': 'yes'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"							"way"	" 384799694"		"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'source': 'Yahoo'}"
"Avinguda de Sant Jaume"	"Avinguda de Sant Jaume"							"way"	"1104523788"		"{'highway': 'residential', 'name': 'Avinguda de Sant Jaume', 'oneway': 'yes', 'source': 'Yahoo'}"
"Avinguda de Santa Caterina"	"Avinguda de Santa Caterina"							"way"	"  47888662"		"{'highway': 'residential', 'name': 'Avinguda de Santa Caterina'}"
"Avinguda de Santa Caterina"	"Avinguda de Santa Caterina"							"way"	"  47888668"		"{'highway': 'residential', 'name': 'Avinguda de Santa Caterina', 'oneway': 'yes'}"
"Avinguda de Santa Caterina"	"Avinguda de Santa Caterina"							"way"	" 118918681"		"{'highway': 'residential', 'name': 'Avinguda de Santa Caterina'}"
"Avinguda del Portet"	"Avinguda del Portet"							"way"	"  67421178"		"{'highway': 'tertiary', 'name': 'Avinguda del Portet', 'oneway': 'yes', 'ref': 'CV-7440', 'surface': 'asphalt'}"
"Avinguda del Portet"	"Avinguda del Portet"							"way"	"  67421187"		"{'cycleway:both': 'no', 'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda del Portet', 'ref': 'CV-744', 'surface': 'asphalt'}"
"Avinguda del Portet"	"Avinguda del Portet"							"way"	"  67421239"		"{'highway': 'pedestrian', 'lit': 'yes', 'name': 'Avinguda del Portet', 'ref': 'CV-744', 'surface': 'paving_stones'}"
