"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72192);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"											
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	3596042943	"Ми-24А"				"Mil Mi-24"	"Mil Mi-24"	"aircraft family"	"Q155651"		"{'historic': 'memorial', 'name': 'Ми-24А', 'start_date': '2011', 'wikidata': 'Q155651', 'wikipedia': 'ru:Ми-24'}"
"node"	2425347236	"Симбирская классическая гимназия"				"Institut Clàssic de Simbirsk"		"gymnasium"	"Q4419529"		"{'addr:city': 'Ульяновск', 'addr:housenumber': '18', 'addr:street': 'Спасская улица', 'name': 'Симбирская классическая гимназия', 'opening_hours': 'Tu-Fr 10:00-17:00; Sa,Su 10:00-16:00', 'operator': 'Федеральное государственное учреждение культуры \""Государственный историко-мемориальный Музей-заповедник «Родина В.И. Ленина»', 'tourism': 'museum', 'website': 'http://www.ulzapovednik.ru/museum/gimnasy/', 'wikidata': 'Q4419529', 'wikipedia': 'ru:Симбирская классическая гимназия'}"
"node"	3544592503	"Ватутин Николай Фёдорович"				"Nikolai Vatutin"	"Nikolai Vatutin"	"human"	"Q299364"		"{'historic': 'memorial', 'name': 'Ватутин Николай Фёдорович', 'wikidata': 'Q299364', 'wikipedia': 'ru:Ватутин, Николай Фёдорович'}"
"way"	256971848	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	291628156	"Терешка"				"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терёшка (приток Волги)'}"
"way"	256590397	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	138200122	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	516545992	"площадь Ленина"				"Lenin, Vladímir Ilitx Lenin, Vladímir Ilitx Uliànov"	"Lenin"	"human"	"Q1394"		"{'highway': 'service', 'name': 'площадь Ленина', 'wikidata': 'Q1394', 'wikipedia': 'ru:Ленин, Владимир Ильич'}"
"way"	1001980331	"Площадь Ленина"				"Lenin, Vladímir Ilitx Lenin, Vladímir Ilitx Uliànov"	"Lenin"	"human"	"Q1394"		"{'name': 'Площадь Ленина', 'place': 'square', 'wikidata': 'Q1394', 'wikipedia': 'ru:Ленин, Владимир Ильич'}"
"way"	138200125	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
