"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(77687);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"											
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	401253373	"Заповедник ""Аркаим"""				"Arkaïm, Arkaim"	"Arkaïm"	"archaeological site"	"Q672602"		"{'name': 'Заповедник \""Аркаим\""', 'place': 'locality', 'website': 'https://arkaim-center.ru/', 'wikidata': 'Q672602', 'wikipedia': 'ru:Аркаим'}"
"node"	5911688914	"Башкортостан"				"Baixkíria, Baixquíria, Baixkortostan"	"Baixkíria"	"republic of Russia"	"Q5710"		"{'name': 'Башкортостан', 'tourism': 'information', 'wikidata': 'Q5710', 'wikipedia': 'ru:Башкортостан'}"
"node"	4635043064	"ЗАГС"				"oficina de registre"			"Q745221"	"official_name=Отдел ЗАГС администрации Кусинского муниципального района"	"{'contact:email': 'zagskmr@admkusa.ru', 'contact:phone': '+7 35154 33293', 'contact:website': 'https://zagskusa.ru/', 'government': 'register_office', 'name': 'ЗАГС', 'office': 'government', 'official_name': 'Отдел ЗАГС администрации Кусинского муниципального района', 'opening_hours': 'Mo,Th 09:00-12:00; Tu 09:00-12:00,13:00-15:00; We 10:00-12:00,13:00-15:00; Fr,Sa 09:00-12:00,13:00-16:00', 'wikidata': 'Q745221', 'wikipedia': 'ru:ЗАГС'}"
"node"	5850798380	"Федеральная служба безопасности Российской Федерации"				"Servei Federal de Seguretat, FSB"	"Servei Federal de Seguretat"	"Federal service (Russian Federation)"	"Q58792"	"official_name=Управление Федеральной Службы Безопасности России по Челябинской области в Троицке, short_name=ФСБ"	"{'addr:housenumber': '6', 'addr:postcode': '457100', 'addr:street': 'улица Фрунзе', 'amenity': 'police', 'contact:email': 'fsb@fsb.ru', 'contact:phone': '+7 35163 25826', 'contact:website': 'http://fsb.ru', 'name': 'Федеральная служба безопасности Российской Федерации', 'official_name': 'Управление Федеральной Службы Безопасности России по Челябинской области в Троицке', 'opening_hours': 'Mo-Fr 09:00-18:00', 'short_name': 'ФСБ', 'website': 'www.fsb.ru', 'wikidata': 'Q58792', 'wikipedia': 'ru:Федеральная служба безопасности'}"
"node"	1923882302	"Ерёмин Иван Егорович"				"Ivan Yeryomin"		"human"	"Q15066403"		"{'historic': 'memorial', 'inscription': 'В этом доме с 1967 г. по 1971 г. жил Герой Советского Союза, участник Великой Отечественной Войны, Ерёмин Иван Егорович', 'memorial': 'plaque', 'name': 'Ерёмин Иван Егорович', 'wikidata': 'Q15066403', 'wikipedia': 'ru:Ерёмин, Иван Егорович'}"
"node"	8038140727	"Истребитель И-16"				"Polikàrpov I-16"	"Polikàrpov I-16"	"fighter"	"Q641977"		"{'historic': 'technical_monument', 'name': 'Истребитель И-16', 'note': 'Экспонат ненастоящая', 'tourism': 'attraction', 'wikidata': 'Q641977', 'wikipedia': 'ru:И-16'}"
"node"	371370420	"Максим Горький"				"Maksim Gorki"	"Maksim Gorki"	"human"	"Q12706"		"{'historic': 'memorial', 'memorial': 'statue', 'name': 'Максим Горький', 'wikidata': 'Q12706', 'wikipedia': 'ru:Максим Горький'}"
"node"	1166762866	"А. С. Пушкину"				"Aleksandr Puixkin, Autor:Aleksandr Puixkin"	"Aleksandr Puixkin"	"human"	"Q7200"		"{'historic': 'memorial', 'memorial': 'bust', 'name': 'А. С. Пушкину', 'wikidata': 'Q7200', 'wikipedia': 'ru:Пушкин, Александр Сергеевич'}"
"node"	9612186947	"Магнит"				"Magnet"		"Wikimedia disambiguation page"	"Q345362"	"name:en=Magnit, name:ru=Магнит"	"{'brand': 'Магнит', 'brand:en': 'Magnit', 'brand:wikidata': 'Q940518', 'brand:wikipedia': 'ru:Магнит (сеть магазинов)', 'contact:email': 'info@magnit.ru', 'contact:facebook': 'https://www.facebook.com/magnitretail', 'contact:ok': 'https://ok.ru/magnitinfo', 'contact:phone': '+7 800 2009002', 'contact:twitter': 'https://twitter.com/magnitretail', 'contact:vk': 'https://vk.com/magnitretail', 'contact:website': 'https://magnit.ru', 'contact:youtube': 'https://www.youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA', 'name': 'Магнит', 'name:en': 'Magnit', 'name:ru': 'Магнит', 'operator': 'АО \""Тандер\""', 'shop': 'supermarket', 'wikidata': 'Q345362', 'wikipedia': 'ru:Магнит (значения)'}"
"node"	935623402	"П.И.Чайковский"				"Piotr Ilitx Txaikovski"	"Piotr Ilitx Txaikovski"	"human"	"Q7315"		"{'historic': 'memorial', 'name': 'П.И.Чайковский', 'wikidata': 'Q7315', 'wikipedia': 'ru:Чайковский, Пётр Ильич'}"
