"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(108081);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	683814442	"Ессентуки"			""	"Essentuki"	""	"big city"	"Q135787"	"int_name=Yessentuki, name:az=Yessentuki, name:cs=Jessentuki, name:de=Jessentuki, name:en=Yessentuki, name:et=Jessentuki, name:fr=Iessentouki, name:hsb=Jessentuki, name:lt=Jesentukai, name:nl=Jessentoeki, name:pl=Jessentuki, name:ro=Essentuki, name:ru=Ессентуки, name:sr=Јесентуки, name:uk=Єсентуки, name:zh-Hans=叶先图基, name:zh-Hant=葉先圖基"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'int_name': 'Yessentuki', 'name': 'Ессентуки', 'name:az': 'Yessentuki', 'name:cs': 'Jessentuki', 'name:de': 'Jessentuki', 'name:en': 'Yessentuki', 'name:et': 'Jessentuki', 'name:fr': 'Iessentouki', 'name:hsb': 'Jessentuki', 'name:lt': 'Jesentukai', 'name:nl': 'Jessentoeki', 'name:pl': 'Jessentuki', 'name:ro': 'Essentuki', 'name:ru': 'Ессентуки', 'name:sr': 'Јесентуки', 'name:uk': 'Єсентуки', 'name:zh-Hans': '叶先图基', 'name:zh-Hant': '葉先圖基', 'official_status': 'ru:город', 'place': 'city', 'population': '114824', 'population:date': '2021-01-01', 'start_date': '1825', 'wikidata': 'Q135787', 'wikipedia': 'ru:Ессентуки'}"
"node"	443345834	"Солуно-Дмитриевское"			""	"Soluno-Dmitriyevskoye"	""	"human settlement"	"Q4428519"	""	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'name': 'Солуно-Дмитриевское', 'official_status': 'ru:село', 'place': 'village', 'population': '2147', 'wikidata': 'Q4428519', 'wikipedia': 'ru:Солуно-Дмитриевское'}"
"relation"	28929	"European route E 117"			""	"E117"	"E117"	"road"	"Q1375799"	"name:en=European route E 117, name:fr=Route européenne E 117, name:hy=Եվրոպական մայրուղի E 117, name:ka=ევროპის ავტომაგისტრალი E 117, name:nl=Europese route E117, name:ru=Европейский маршрут E 117, name:sk=Európska cesta E 117, name:uk=Європейський маршрут E 117"	"{'description': \"The E 117 starts from Mineralnye Vody, Russia, via the Georgian Military Road to Georgia's capital Tbilisi, via the Armenian capital Yerevan and on to Megri on the border of Iran.\", 'description:fr': 'E 117 Mineralnye Vody - Meghri', 'name': 'European route E 117', 'name:en': 'European route E 117', 'name:fr': 'Route européenne E 117', 'name:hy': 'Եվրոպական մայրուղի E 117', 'name:ka': 'ევროპის ავტომაგისტრალი E 117', 'name:nl': 'Europese route E117', 'name:ru': 'Европейский маршрут E 117', 'name:sk': 'Európska cesta E 117', 'name:uk': 'Європейський маршрут E 117', 'network': 'e-road', 'ref': 'E 117', 'route': 'road', 'type': 'route', 'wikidata': 'Q1375799', 'wikipedia': 'en:European route E117'}"
"relation"	1030030	"Петровский городской округ"			""	"raion de Petrovski"	""	"municipal district"	"Q1771856"	"name:en=Petrovsky District"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Петровский городской округ', 'name:en': 'Petrovsky District', 'official_status': 'ru:городской округ', 'source': 'Росреестр,gis-lab.info', 'type': 'boundary', 'wikidata': 'Q1771856', 'wikipedia': 'ru:Петровский район (Ставропольский край)'}"
"relation"	1030149	"Советский городской округ"			""	"raion de Sovetski"	""	"municipal district"	"Q2639954"	"name:en=Sovetsky District, name:ru=Советский городской округ, name:uk=Совєтський район"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Советский городской округ', 'name:en': 'Sovetsky District', 'name:ru': 'Советский городской округ', 'name:uk': 'Совєтський район', 'official_status': 'ru:городской округ', 'source': 'Росреестр,gis-lab.info', 'type': 'boundary', 'wikidata': 'Q2639954', 'wikipedia': 'ru:Советский район (Ставропольский край)'}"
"relation"	1030984	"городской округ Ессентуки"			""	"Essentuki"	""	"big city"	"Q135787"	"name:lt=Jesentukų miesto apygarda, official_name=городской округ Город Ессентуки"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'городской округ Ессентуки', 'name:lt': 'Jesentukų miesto apygarda', 'official_name': 'городской округ Город Ессентуки', 'official_status': 'ru:городской округ', 'population': '114824', 'population:date': '2021-01-01', 'source': 'Росреестр,gis-lab.info', 'start_date': '1825', 'type': 'boundary', 'wikidata': 'Q135787', 'wikipedia': 'ru:Город-курорт Ессентуки'}"
"relation"	7162386	"Ессентуки"			""	"Essentuki"	""	"big city"	"Q135787"	"int_name=Yessentuki, name:az=Yessentuki, name:cs=Jessentuki, name:de=Jessentuki, name:en=Yessentuki, name:fr=Iessentouki, name:hsb=Jessentuki, name:lt=Jesentukai, name:nl=Jessentoeki, name:pl=Jessentuki, name:ro=Essentuki, name:ru=Ессентуки, name:sr=Јесентуки, name:uk=Єсентуки, name:zh=叶先图基"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'int_name': 'Yessentuki', 'name': 'Ессентуки', 'name:az': 'Yessentuki', 'name:cs': 'Jessentuki', 'name:de': 'Jessentuki', 'name:en': 'Yessentuki', 'name:fr': 'Iessentouki', 'name:hsb': 'Jessentuki', 'name:lt': 'Jesentukai', 'name:nl': 'Jessentoeki', 'name:pl': 'Jessentuki', 'name:ro': 'Essentuki', 'name:ru': 'Ессентуки', 'name:sr': 'Јесентуки', 'name:uk': 'Єсентуки', 'name:zh': '叶先图基', 'official_status': 'ru:город', 'place': 'city', 'population': '114824', 'population:date': '2021-01-01', 'start_date': '1825', 'type': 'multipolygon', 'wikidata': 'Q135787', 'wikipedia': 'ru:Ессентуки'}"
"relation"	4132445	"Георгиевск"			""	"Gueórguievsk"	""	"city/town"	"Q105413"	"name:en=Georgiyevsk, name:ru=Георгиевск"	"{'fias:code': 'ea88bcba-c562-438a-9115-8b32426b0c8e', 'name': 'Георгиевск', 'name:en': 'Georgiyevsk', 'name:ru': 'Георгиевск', 'place': 'town', 'type': 'multipolygon', 'wikidata': 'Q105413', 'wikipedia': 'ru:Георгиевск'}"
"relation"	1029091	"Курский муниципальный округ"			"Курский район"	"districte de Kurskaia"	""	"municipal district"	"Q1253843"	"name:ce=Курскан кӀошт, name:de=Rajon Kurskaja, name:en=Kursky District, name:os=Хъуырæйы район, name:ru=Курский муниципальный округ, name:uk=Курський район"	"{'addr:country': 'RU', 'addr:region': 'Ставропольский край', 'admin_level': '6', 'alt_name': 'Курский район', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Курский муниципальный округ', 'name:ce': 'Курскан кӀошт', 'name:de': 'Rajon Kurskaja', 'name:en': 'Kursky District', 'name:os': 'Хъуырæйы район', 'name:ru': 'Курский муниципальный округ', 'name:uk': 'Курський район', 'official_status': 'ru:муниципальный округ', 'source': 'Росреестр,gis-lab.info', 'type': 'boundary', 'wikidata': 'Q1253843', 'wikipedia': 'ru:Курский район (Ставропольский край)'}"
